mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation
23.1,52,35660.19,19.7,19.7
19.5,31,35677.57,13.4,13.4
18.9,27,35479.04,26.6,26.6
19.6,22,35424.36,25.7,25.7
20.8,28,35307.86,22.4,22.4
20.1,52,35254.42,9.8,9.8
20.7,52,35162.26,10.2,10.2
21.8,44,35104.77,11.4,11.4
22.9,37,35047.02,13.2,13.2
23.5,41,34989.09,10.8,10.8
22.2,45,34931.0,15.7,15.7
19.9,52,34872.83,17.4,17.4
17.8,45,34814.61,15.8,15.8
17.0,29,34756.4,12.0,12.0
18.9,60,34698.25,15.8,15.8
20.4,45,34640.23,20.9,20.9
22.9,44,34582.38,21.4,21.4
24.0,49,31262.83,19.2,19.2
23.6,46,26147.11,15.8,15.8
20.8,86,12134.59,18.4,18.4
20.4,100,32299.67,11.2,11.2
19.4,95,28666.09,15.0,15.0
16.6,100,29758.56,26.0,26.0
15.1,68,33907.75,14.8,14.8
17.7,52,33857.2,18.9,18.9
16.2,62,33688.46,14.3,14.3
15.0,62,27835.25,13.9,13.9
15.2,69,33254.11,23.5,23.5
14.6,92,32773.99,10.9,10.9
13.9,53,32269.55,17.6,17.6
16.6,43,28178.11,18.0,18.0
17.5,47,29132.27,18.5,18.5
15.8,74,32570.48,15.1,15.1
13.6,87,22521.06,20.0,20.0
12.5,100,32066.12,12.3,12.3
11.7,96,32331.47,10.6,10.6
12.0,100,32233.48,8.7,8.7
13.0,93,29059.86,8.7,8.7
17.1,66,32221.24,14.5,14.5
18.4,56,32217.39,15.7,15.7
15.5,77,31967.83,10.2,10.2
14.1,89,32143.44,9.1,9.1
12.3,49,32147.16,17.3,17.3
12.9,31,32088.58,20.0,20.0
12.4,44,30955.8,11.7,11.7
14.0,36,30523.68,11.1,11.1
12.1,63,32068.75,11.5,11.5
12.0,59,32085.87,10.7,10.7
14.2,66,32061.86,16.0,16.0
17.2,41,32081.88,24.5,24.5
