time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation
0,17.8,60,33369.18,11.4,14.45
1,18.5,75,27641.56,10.3,13.27
2,18.1,80,10725.1,24.4,9.8
3,17.8,84,35454.86,14.4,17.79
4,16.3,84,29561.46,33.3,14.84
5,16.2,94,38333.37,11.4,18.73
6,16.8,82,38409.57,13.7,19.21
7,16.6,81,38486.42,20.4,19.51
8,16.5,75,38563.81,23.0,19.03
9,15.8,73,38641.64,17.3,19.63
10,16.1,71,37608.23,9.8,19.73
11,16.6,69,34512.75,16.9,16.88
12,13.0,93,35440.33,18.5,13.76
13,13.1,94,38955.35,19.2,19.45
14,14.7,92,39033.88,13.7,19.73
15,16.9,79,39112.26,20.5,20.94
16,17.6,75,36000.0,14.1,20.72
17,17.6,73,39268.14,13.9,20.07
18,17.3,71,39345.73,26.6,20.38
19,15.3,78,22303.82,22.3,14.21
20,12.2,86,32003.23,27.8,13.99
21,12.3,91,39583.05,12.6,19.26
22,13.2,92,37214.76,12.0,19.84
23,14.1,90,39600.0,31.9,18.85
24,15.9,88,39600.0,14.5,21.24
25,16.5,86,39600.0,10.8,21.83
26,18.5,89,39747.38,17.3,22.3
27,20.5,69,39744.98,10.7,22.63
28,20.1,61,31662.16,26.4,17.11
29,14.1,73,32235.37,33.5,18.11
30,13.8,92,39826.66,24.1,22.67
31,14.1,83,39600.0,23.3,17.87
32,15.9,89,40018.54,13.4,23.42
33,18.8,80,36985.18,12.0,21.17
34,20.2,63,40363.46,22.4,23.84
35,20.9,49,40552.5,36.0,24.09
36,13.1,88,21774.57,20.6,11.11
37,12.0,95,30046.82,11.6,15.14
38,14.6,99,40557.82,14.8,23.77
39,16.8,89,41082.66,9.4,24.47
40,18.7,82,41416.15,18.3,24.88
41,15.3,66,21496.18,31.6,13.41
42,12.6,62,41674.37,24.2,25.11
43,14.9,87,42037.59,10.9,25.5
44,16.8,76,38455.29,16.6,24.16
45,19.1,59,42565.3,22.1,25.53
46,21.2,58,42962.8,13.0,25.91
47,23.1,58,43245.15,13.4,25.96
48,24.4,47,43459.69,26.3,25.9
49,23.3,41,43671.95,21.7,26.05
