time_0,date,mean_temp,max_rel_humidity,radiation,wind_speed,sun_duration,wind_speed_10m_max,shortwave_radiation_sum,google_searches
0,2023-08-10,22.241583,87.692696,17.99,18.35647,37158.227,18.35647,17.99,36
1,2023-08-11,21.637419,93.89259,21.88,19.734436,41906.883,19.734436,21.88,42
2,2023-08-12,21.858252,97.820564,25.33,18.391737,43528.54,18.391737,25.33,36
3,2023-08-13,22.054085,99.06079,24.81,20.898613,41483.0,20.898613,24.81,45
4,2023-08-14,22.168669,93.89031,24.19,20.929594,37488.555,20.929594,24.19,37
5,2023-08-15,22.774918,100.0,25.05,20.466246,39835.15,20.466246,25.05,37
6,2023-08-16,24.97075,87.90895,25.86,21.028437,43592.15,21.028437,25.86,48
7,2023-08-17,24.033249,100.0,26.15,21.096123,43682.07,21.096123,26.15,42
8,2023-08-18,22.201998,100.0,25.72,20.972897,40732.42,20.972897,25.72,42
9,2023-08-19,21.652,97.15745,22.05,17.974781,43609.96,17.974781,22.05,56
10,2023-08-20,23.312416,95.809715,4.32,18.709612,5195.6685,18.709612,4.32,43
11,2023-08-21,21.2645,97.90249,12.88,30.0767,17202.596,30.0767,12.88,48
12,2023-08-22,21.01033,98.116486,24.95,19.164717,43354.234,19.164717,24.95,27
13,2023-08-23,21.481163,98.1172,25.52,16.263872,43202.703,16.263872,25.52,43
14,2023-08-24,20.412418,100.0,21.9,16.135872,35000.07,16.135872,21.9,42
15,2023-08-25,19.916582,100.0,24.25,18.532135,39600.0,18.532135,24.25,42
16,2023-08-26,20.089502,100.0,24.75,17.429354,37000.574,17.429354,24.75,49
17,2023-08-27,22.902,95.65531,25.58,15.021105,43286.125,15.021105,25.58,41
18,2023-08-28,24.99158,84.20819,25.24,16.279802,43286.902,16.279802,25.24,49
19,2023-08-29,24.77075,93.572174,25.39,17.57744,43207.9,17.57744,25.39,65
20,2023-08-30,25.045748,99.05828,25.3,18.218275,43134.574,18.218275,25.3,47
21,2023-08-31,22.906168,100.0,21.58,18.175545,35827.656,18.175545,21.58,43
22,2023-09-01,22.764498,99.374916,22.19,20.49156,38927.78,20.49156,22.19,53
